정류소 이름,정류소 ID,총 승차,총 하차,카드 승차,카드 하차,현금 승차,일평균 승하차,총 승차 대비 총 하차,총 하차 대비 총 승차,카드 승차 대비 카드 하차,카드 하차 대비 카드 승차,현금 승차 대비 카드 승차,카드 승차 대비 현금 승차
(구)국제여객터미널,35051.0,99,1671,21,1671,78,59,1687.878787878788,5.9245960502693,7957.142857142857,1.2567324955116697,26.923076923076923,371.42857142857144
(구)국제여객터미널,35052.0,2374,44,2312,44,62,80,1.8534119629317607,5395.454545454545,1.9031141868512111,5254.545454545455,3729.032258064516,2.6816608996539792
(주)경동세라믹스,89146.0,315,39,312,39,3,11,12.380952380952381,807.6923076923076,12.5,800.0,10400.0,0.9615384615384616
(주)경인양행앞,42096.0,973,814,957,814,16,59,83.65878725590956,119.53316953316953,85.0574712643678,117.56756756756756,5981.25,1.671891327063741
(주)경인양행앞,42097.0,1452,3459,1424,3459,28,163,238.22314049586777,41.9774501300954,242.9073033707865,41.16796762069963,5085.714285714285,1.9662921348314606
(주)대한특수금속,39050.0,1249,75,1246,75,3,44,6.00480384307446,1665.3333333333333,6.019261637239166,1661.3333333333333,41533.33333333333,0.2407704654895666
(주)두남,39135.0,137,28,136,28,1,5,20.437956204379564,489.28571428571433,20.588235294117645,485.71428571428567,13600.0,0.7352941176470588
(주)세모입구(린나이코리아),37585.0,1382,1613,1382,1613,0,99,116.71490593342982,85.6788592684439,116.71490593342982,85.6788592684439,,0.0
(주)세모입구(린나이코리아),40893.0,240,649,240,649,0,29,270.4166666666667,36.97996918335901,270.4166666666667,36.97996918335901,,0.0
(주)스킨이데아,89388.0,163,138,162,138,1,10,84.66257668711657,118.1159420289855,85.18518518518519,117.3913043478261,16200.0,0.6172839506172839
(주)스킨이데아,89389.0,726,15,686,15,40,24,2.066115702479339,4840.0,2.186588921282799,4573.333333333333,1714.9999999999998,5.830903790087463
(주)씨피엔텍,39133.0,559,3559,558,3559,1,137,636.6726296958855,15.70665917392526,637.8136200716847,15.6785613936499,55800.0,0.17921146953405018
(주)씨피엔텍,39134.0,2358,381,2356,381,2,91,16.157760814249365,618.8976377952756,16.171477079796265,618.3727034120735,117800.0,0.08488964346349745
(주)창원,39029.0,3447,2911,3444,2911,3,211,84.45024659123875,118.41291652353144,84.52380952380952,118.30985915492957,114800.0,0.08710801393728224
(주)창원,39030.0,4114,3224,4114,3224,0,244,78.3665532328634,127.60545905707197,78.3665532328634,127.60545905707197,,0.0
(주)하나금속,39124.0,9,22,9,22,0,1,244.44444444444446,40.909090909090914,244.44444444444446,40.909090909090914,,0.0
17사단.다임메가타운,40895.0,1997,4540,1980,4540,17,217,227.34101151727592,43.986784140969164,229.29292929292927,43.61233480176212,11647.05882352941,0.8585858585858586
17사단입구,40832.0,27,536,17,536,10,18,1985.1851851851852,5.037313432835821,3152.9411764705883,3.171641791044776,170.0,58.82352941176471
2001아울렛,40154.0,3498,5853,3460,5853,38,311,167.32418524871355,59.76422347514095,169.16184971098264,59.114983769007345,9105.263157894737,1.0982658959537572
