정류소 이름,정류소 ID,총 승차,총 하차,카드 승차,카드 하차,현금 승차,일평균 승하차,총 승차 대비 총 하차,총 하차 대비 총 승차,카드 승차 대비 카드 하차,카드 하차 대비 카드 승차,현금 승차 대비 카드 승차,카드 승차 대비 현금 승차
(구)국제여객터미널,35051.0,29,1137,20,1137,9,37,3920.6896551724135,2.550571679859279,5685.0,1.759014951627089,222.22222222222223,45.0
(구)국제여객터미널,35052.0,1457,17,1451,17,6,47,1.1667810569663692,8570.588235294117,1.1716057891109581,8535.29411764706,24183.333333333336,0.41350792556857335
(주)경동세라믹스,89146.0,598,23,598,23,0,20,3.8461538461538463,2600.0,3.8461538461538463,2600.0,,0.0
(주)경인양행앞,42096.0,1002,848,1002,848,0,59,84.63073852295409,118.16037735849056,84.63073852295409,118.16037735849056,,0.0
(주)경인양행앞,42097.0,1953,3833,1953,3833,0,186,196.26216077828983,50.95225671797547,196.26216077828983,50.95225671797547,,0.0
(주)대한특수금속,39050.0,1120,67,1120,67,0,38,5.982142857142858,1671.641791044776,5.982142857142858,1671.641791044776,,0.0
(주)두남,39135.0,232,53,232,53,0,9,22.844827586206897,437.73584905660374,22.844827586206897,437.73584905660374,,0.0
(주)세모입구(린나이코리아),37585.0,1225,1862,1225,1862,0,99,152.0,65.78947368421053,152.0,65.78947368421053,,0.0
(주)세모입구(린나이코리아),40893.0,411,719,411,719,0,36,174.93917274939173,57.16272600834492,174.93917274939173,57.16272600834492,,0.0
(주)스킨이데아,89388.0,385,506,385,506,0,28,131.42857142857142,76.08695652173914,131.42857142857142,76.08695652173914,,0.0
(주)스킨이데아,89389.0,2619,19,2619,19,0,85,0.7254677357770141,13784.210526315788,0.7254677357770141,13784.210526315788,,0.0
(주)씨피엔텍,39133.0,474,3358,474,3358,0,123,708.4388185654009,14.115544967242405,708.4388185654009,14.115544967242405,,0.0
(주)씨피엔텍,39134.0,2079,420,2079,420,0,80,20.2020202020202,495.0,20.2020202020202,495.0,,0.0
(주)창원,39029.0,3366,2975,3366,2975,0,204,88.38383838383838,113.14285714285714,88.38383838383838,113.14285714285714,,0.0
(주)창원,39030.0,3900,3543,3900,3543,0,240,90.84615384615384,110.0762066045724,90.84615384615384,110.0762066045724,,0.0
(주)하나금속,39124.0,21,54,21,54,0,2,257.14285714285717,38.88888888888889,257.14285714285717,38.88888888888889,,0.0
17사단.다임메가타운,40895.0,2109,4701,2109,4701,0,219,222.90184921763867,44.86279514996809,222.90184921763867,44.86279514996809,,0.0
17사단입구,40832.0,12,516,5,516,7,17,4300.0,2.3255813953488373,10320.0,0.9689922480620154,71.42857142857143,140.0
2001아울렛,40154.0,3495,5274,3494,5274,1,282,150.90128755364807,66.26848691695109,150.94447624499142,66.24952597648843,349400.0,0.028620492272467084
2001아울렛,40159.0,30555,13326,30540,13326,15,1415,43.613156602847326,229.28860873480414,43.63457760314342,229.17604682575416,203600.0,0.04911591355599214
2001아울렛,40162.0,10648,21313,10642,21313,6,1031,200.15965439519158,49.960118237695305,200.27250516820146,49.931966405480225,177366.6666666667,0.05638037962788949
2001아울렛부평점,40158.0,4713,2545,4713,2545,0,234,53.999575641841716,185.18664047151276,53.999575641841716,185.18664047151276,,0.0
2차풍림아이원,42584.0,32,10981,32,10981,0,355,34315.625,0.2914124396685184,34315.625,0.2914124396685184,,0.0
3단지,40736.0,198,1574,198,1574,0,57,794.949494949495,12.579415501905972,794.949494949495,12.579415501905972,,0.0
3단지관리사무소,40107.0,1633,378,1633,378,0,64,23.14758113900796,432.010582010582,23.14758113900796,432.010582010582,,0.0
41번구종점,42174.0,1872,5558,1872,5558,0,239,296.9017094017094,33.6811802806765,296.9017094017094,33.6811802806765,,0.0
510번차고지,36145.0,893,355,893,355,0,40,39.75363941769317,251.5492957746479,39.75363941769317,251.5492957746479,,0.0
540번종점,39470.0,3162,86,3135,86,27,104,2.719797596457938,3676.744186046512,2.743221690590112,3645.3488372093025,11611.111111111111,0.8612440191387559
6공단사거리,37577.0,270,2590,270,2590,0,92,959.2592592592594,10.424710424710424,959.2592592592594,10.424710424710424,,0.0
6공단입구,37442.0,695,853,695,853,0,49,122.7338129496403,81.47713950762017,122.7338129496403,81.47713950762017,,0.0
6공단입구,37443.0,1075,1667,1075,1667,0,88,155.06976744186048,64.4871025794841,155.06976744186048,64.4871025794841,,0.0
8부두,35181.0,212,1838,212,1838,0,66,866.9811320754716,11.534276387377584,866.9811320754716,11.534276387377584,,0.0
8부두,35182.0,1282,2939,1281,2939,1,136,229.2511700468019,43.620279006464784,229.43013270882125,43.58625382783259,128100.0,0.078064012490242
CJ인천2공장,35591.0,427,3161,425,3161,2,115,740.2810304449648,13.508383422967416,743.7647058823529,13.445112306232204,21250.0,0.4705882352941176
CJ인천2공장,35592.0,2326,112,2325,112,1,78,4.815133276010318,2076.785714285714,4.817204301075269,2075.8928571428573,232500.0,0.043010752688172046
E편한세상,42453.0,3154,2118,3152,2118,2,170,67.15282181357007,148.91406987724267,67.19543147208121,148.81964117091596,157600.0,0.06345177664974619
E편한세상,42649.0,1491,3615,1490,3615,1,164,242.45472837022132,41.244813278008294,242.61744966442956,41.21715076071922,149000.0,0.06711409395973154
E편한세상,42726.0,3652,1715,3644,1715,8,173,46.960569550931,212.94460641399417,47.06366630076839,212.47813411078718,45550.0,0.21953896816684962
GM물류센터,40568.0,516,1178,516,1178,0,54,228.29457364341087,43.803056027164686,228.29457364341087,43.803056027164686,,0.0
GS25편의점,36142.0,1032,2334,1027,2334,5,108,226.1627906976744,44.2159383033419,227.26387536514116,44.00171379605827,20540.0,0.4868549172346641
GS내리주유소,44130.0,0,7,0,7,0,0,,0.0,,0.0,,
GS내리주유소,44147.0,0,1,0,1,0,0,,0.0,,0.0,,
GS칼텍스,35168.0,656,62,655,62,1,23,9.451219512195122,1058.0645161290322,9.465648854961833,1056.4516129032259,65500.0,0.15267175572519084
GS칼텍스,35557.0,8,2208,8,2208,0,71,27600.0,0.36231884057971014,27600.0,0.36231884057971014,,0.0
GS칼텍스,89220.0,135,561,135,561,0,22,415.5555555555556,24.06417112299465,415.5555555555556,24.06417112299465,,0.0
GS칼텍스,89224.0,172,1378,172,1378,0,50,801.1627906976744,12.481857764876633,801.1627906976744,12.481857764876633,,0.0
