정류소명,정류소아이디,총승차건수,총하차건수,승차건수(카드),하차건수(카드),승차건수(현금),일평균승하차건수
(구)국제여객터미널,35051,29,1137,20,1137,9,37
(구)국제여객터미널,35052,1457,17,1451,17,6,47
(주)경동세라믹스,89146,598,23,598,23,0,20
(주)경인양행앞,42096,1002,848,1002,848,0,59
(주)경인양행앞,42097,1953,3833,1953,3833,0,186
(주)대한특수금속,39050,1120,67,1120,67,0,38
(주)두남,39135,232,53,232,53,0,9
(주)세모입구(린나이코리아),37585,1225,1862,1225,1862,0,99
(주)세모입구(린나이코리아),40893,411,719,411,719,0,36
(주)스킨이데아,89388,385,506,385,506,0,28
(주)스킨이데아,89389,2619,19,2619,19,0,85
(주)씨피엔텍,39133,474,3358,474,3358,0,123
(주)씨피엔텍,39134,2079,420,2079,420,0,80
(주)창원,39029,3366,2975,3366,2975,0,204
(주)창원,39030,3900,3543,3900,3543,0,240
(주)하나금속,39124,21,54,21,54,0,2
17사단.다임메가타운,40895,2109,4701,2109,4701,0,219
17사단입구,40832,12,516,5,516,7,17
2001아울렛,40154,3495,5274,3494,5274,1,282
2001아울렛,40159,30555,13326,30540,13326,15,1415
2001아울렛,40162,10648,21313,10642,21313,6,1031
2001아울렛부평점,40158,4713,2545,4713,2545,0,234
2차풍림아이원,42584,32,10981,32,10981,0,355
3단지,40736,198,1574,198,1574,0,57
3단지관리사무소,40107,1633,378,1633,378,0,64
41번구종점,42174,1872,5558,1872,5558,0,239
510번차고지,36145,893,355,893,355,0,40
540번종점,39470,3162,86,3135,86,27,104
6공단사거리,37577,270,2590,270,2590,0,92
6공단입구,37442,695,853,695,853,0,49
6공단입구,37443,1075,1667,1075,1667,0,88
8부두,35181,212,1838,212,1838,0,66
8부두,35182,1282,2939,1281,2939,1,136
CJ인천2공장,35591,427,3161,425,3161,2,115
CJ인천2공장,35592,2326,112,2325,112,1,78
E편한세상,42453,3154,2118,3152,2118,2,170
E편한세상,42649,1491,3615,1490,3615,1,164
E편한세상,42726,3652,1715,3644,1715,8,173
GM물류센터,40568,516,1178,516,1178,0,54
GS25편의점,36142,1032,2334,1027,2334,5,108
GS내리주유소,44130,0,7,0,7,0,0
GS내리주유소,44147,0,1,0,1,0,0
GS칼텍스,35168,656,62,655,62,1,23
GS칼텍스,35557,8,2208,8,2208,0,71
GS칼텍스,89220,135,561,135,561,0,22
GS칼텍스,89224,172,1378,172,1378,0,50
GS칼텍스주유소,39814,189,22,189,22,0,6
HD현대인프라코어,36081,650,1662,650,1662,0,74
HD현대인프라코어,36083,2429,921,2429,921,0,108
HD현대인프라코어후문,36077,5,864,5,864,0,28
HD현대인프라코어후문,36078,3869,603,3866,603,3,144
JC회관,37383,4227,4280,4227,4280,0,274
JST기술연구소,89491,1,1753,1,1753,0,56
JST기술연구소,89492,511,38,504,38,7,17
KCC아파트,42391,2117,1369,2115,1369,2,112
KG스틸,42008,2501,4482,2499,4482,2,225
KTX광명역4번출구,58057,2453,19,2453,19,0,79
KT부평지사,40381,10354,6854,10297,6854,57,555
KT부평지사,40384,7492,13000,7487,13000,5,661
KT서인천지사,42932,1696,2671,1696,2671,0,140
KT서인천지사,42933,1736,996,1736,996,0,88
KT송도지점,38568,803,457,803,457,0,40
KT온수분국,43523,646,203,643,203,3,27
KT인천공항지사,35095,235,38,235,38,0,8
KT인천공항지사,35109,6820,3080,6810,3080,10,319
KT인천지사,37415,6311,4591,6302,4591,9,351
KT인천지사,39319,8313,4661,8300,4661,13,418
KT중동지사,55081,835,181,835,181,0,32
KT중동지사,55082,165,1045,165,1045,0,39
LG마그나,89029,5951,2736,5951,2736,0,280
LG마그나,89264,2809,5323,2809,5323,0,262
LG물류센터,39043,343,151,343,151,0,15
LG물류센터,39044,84,515,84,515,0,19
LG전자(주),42297,4690,4351,4690,4351,0,291
LH1단지,35494,9444,4155,9440,4155,4,438
LH1단지,35495,4954,6606,4954,6606,0,372
LH49단지행복주택아파트,35768,760,1461,760,1461,0,71
LH49단지행복주택아파트,35769,1993,890,1993,890,0,93
LH7단지,35451,3602,2114,3602,2114,0,184
LH7단지,35452,2275,3678,2275,3678,0,192
LH미추홀3단지,37222,3077,6372,3041,6372,36,304
LH미추홀3단지,37635,6524,2785,6513,2785,11,300
LH웨스턴블루힐정문,89184,1655,3810,1655,3810,0,176
LH웨스턴블루힐정문,89185,4259,3551,4257,3551,2,251
NKG물류센터,89212,226,40,226,40,0,8
SK.GS주유소,89230,1334,1507,1332,1507,2,91
SK.GS주유소,89231,1762,2014,1762,2014,0,121
